team_hint,file,sheet,metric,col,value,metric_norm,col_norm
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Faul,Seçildi: 19,12.05,faul,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Faul,2025/2026,13.38,faul,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Faul,Seçildi: 10,11.2,faul,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Faul,Seçildi: 10.1,14.0,faul,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Sarı Kartlar,Seçildi: 19,1.89,sarı kartlar,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Sarı Kartlar,2025/2026,2.52,sarı kartlar,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Sarı Kartlar,Seçildi: 10,1.3,sarı kartlar,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Sarı Kartlar,Seçildi: 10.1,2.6,sarı kartlar,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kırmızı Kartlar,Seçildi: 19,0.11,kırmızı kartlar,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kırmızı Kartlar,2025/2026,0.1,kırmızı kartlar,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kırmızı Kartlar,Seçildi: 10,0.2,kırmızı kartlar,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kırmızı Kartlar,Seçildi: 10.1,0.2,kırmızı kartlar,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kornerler,Seçildi: 19,5.26,kornerler,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kornerler,2025/2026,4.57,kornerler,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kornerler,Seçildi: 10,6.4,kornerler,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kornerler,Seçildi: 10.1,3.9,kornerler,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Şut,Seçildi: 19,15.53,şut,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Şut,2025/2026,10.67,şut,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Şut,Seçildi: 10,18.0,şut,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Şut,Seçildi: 10.1,10.4,şut,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İsabetli Şut,Seçildi: 19,5.89,i̇sabetli şut,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İsabetli Şut,2025/2026,4.38,i̇sabetli şut,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İsabetli Şut,Seçildi: 10,6.9,i̇sabetli şut,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İsabetli Şut,Seçildi: 10.1,4.6,i̇sabetli şut,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Rakip sahaya girişler,Seçildi: 19,62.47,rakip sahaya girişler,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Rakip sahaya girişler,2025/2026,55.1,rakip sahaya girişler,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Rakip sahaya girişler,Seçildi: 10,65.5,rakip sahaya girişler,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Rakip sahaya girişler,Seçildi: 10.1,50.7,rakip sahaya girişler,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları,Seçildi: 19,58.11,top kayıpları,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları,2025/2026,64.38,top kayıpları,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları,Seçildi: 10,56.5,top kayıpları,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları,Seçildi: 10.1,63.8,top kayıpları,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları / kendi yarı sahasında,Seçildi: 19,11.58,top kayıpları / kendi yarı sahasında,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları / kendi yarı sahasında,2025/2026,13.95,top kayıpları / kendi yarı sahasında,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları / kendi yarı sahasında,Seçildi: 10,11.1,top kayıpları / kendi yarı sahasında,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top kayıpları / kendi yarı sahasında,Seçildi: 10.1,15.6,top kayıpları / kendi yarı sahasında,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks,Seçildi: 19,5.37,goal kicks,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks,2025/2026,7.29,goal kicks,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks,Seçildi: 10,4.9,goal kicks,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks,Seçildi: 10.1,7.9,goal kicks,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks accurate,Seçildi: 19,4.84,goal kicks accurate,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks accurate,2025/2026,6.62,goal kicks accurate,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks accurate,Seçildi: 10,4.5,goal kicks accurate,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Goal kicks accurate,Seçildi: 10.1,7.3,goal kicks accurate,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Goal kicks accurate, %",Seçildi: 19,0.902,"goal kicks accurate, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Goal kicks accurate, %",2025/2026,0.9085,"goal kicks accurate, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Goal kicks accurate, %",Seçildi: 10,0.9184000000000001,"goal kicks accurate, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Goal kicks accurate, %",Seçildi: 10.1,0.9241,"goal kicks accurate, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Paslar,Seçildi: 19,570.37,paslar,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Paslar,2025/2026,416.57,paslar,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Paslar,Seçildi: 10,577.7,paslar,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Paslar,Seçildi: 10.1,406.5,paslar,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Paslar adresi bulanlar, %",Seçildi: 19,0.872,"paslar adresi bulanlar, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Paslar adresi bulanlar, %",2025/2026,0.8140000000000001,"paslar adresi bulanlar, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Paslar adresi bulanlar, %",Seçildi: 10,0.8745,"paslar adresi bulanlar, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Paslar adresi bulanlar, %",Seçildi: 10.1,0.8155,"paslar adresi bulanlar, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kilit Pas,Seçildi: 19,9.11,kilit pas,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kilit Pas,2025/2026,6.62,kilit pas,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kilit Pas,Seçildi: 10,9.7,kilit pas,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Kilit Pas,Seçildi: 10.1,7.3,kilit pas,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Key passes accurate,Seçildi: 19,5.42,key passes accurate,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Key passes accurate,2025/2026,2.95,key passes accurate,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Key passes accurate,Seçildi: 10,6.3,key passes accurate,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Key passes accurate,Seçildi: 10.1,3.4,key passes accurate,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Key passes accurate, %",Seçildi: 19,0.5954,"key passes accurate, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Key passes accurate, %",2025/2026,0.446,"key passes accurate, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Key passes accurate, %",Seçildi: 10,0.6495000000000001,"key passes accurate, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Key passes accurate, %",Seçildi: 10.1,0.4658,"key passes accurate, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Orta,Seçildi: 19,14.74,orta,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Orta,2025/2026,15.67,orta,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Orta,Seçildi: 10,17.3,orta,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Orta,Seçildi: 10.1,14.7,orta,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"İsabetli ortalar, %",Seçildi: 19,0.3036,"i̇sabetli ortalar, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"İsabetli ortalar, %",2025/2026,0.2371,"i̇sabetli ortalar, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"İsabetli ortalar, %",Seçildi: 10,0.2948,"i̇sabetli ortalar, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"İsabetli ortalar, %",Seçildi: 10.1,0.2381,"i̇sabetli ortalar, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive passes,Seçildi: 19,101.63,progressive passes,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive passes,2025/2026,91.0,progressive passes,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive passes,Seçildi: 10,102.9,progressive passes,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive passes,Seçildi: 10.1,91.9,progressive passes,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Progressive passes accurate, %",Seçildi: 19,0.74,"progressive passes accurate, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Progressive passes accurate, %",2025/2026,0.6693000000000001,"progressive passes accurate, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Progressive passes accurate, %",Seçildi: 10,0.7629000000000001,"progressive passes accurate, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Progressive passes accurate, %",Seçildi: 10.1,0.6736,"progressive passes accurate, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive open passes,Seçildi: 19,61.95,progressive open passes,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive open passes,2025/2026,45.38,progressive open passes,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive open passes,Seçildi: 10,66.5,progressive open passes,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Progressive open passes,Seçildi: 10.1,44.7,progressive open passes,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Uzun paslar,Seçildi: 19,29.79,uzun paslar,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Uzun paslar,2025/2026,38.43,uzun paslar,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Uzun paslar,Seçildi: 10,26.5,uzun paslar,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Uzun paslar,Seçildi: 10.1,37.9,uzun paslar,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Uzun paslar, isabetli, %",Seçildi: 19,0.6926000000000001,"uzun paslar, isabetli, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Uzun paslar, isabetli, %",2025/2026,0.6357,"uzun paslar, isabetli, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Uzun paslar, isabetli, %",Seçildi: 10,0.7019,"uzun paslar, isabetli, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Uzun paslar, isabetli, %",Seçildi: 10.1,0.6596,"uzun paslar, isabetli, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Super long passes,Seçildi: 19,8.0,super long passes,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Super long passes,2025/2026,11.05,super long passes,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Super long passes,Seçildi: 10,6.6,super long passes,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Super long passes,Seçildi: 10.1,8.5,super long passes,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Super long passes accurate, %",Seçildi: 19,0.5395000000000001,"super long passes accurate, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Super long passes accurate, %",2025/2026,0.5647,"super long passes accurate, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Super long passes accurate, %",Seçildi: 10,0.5606,"super long passes accurate, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Super long passes accurate, %",Seçildi: 10.1,0.6470999999999999,"super long passes accurate, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Ceza sahasına orta,Seçildi: 19,34.0,ceza sahasına orta,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Ceza sahasına orta,2025/2026,27.62,ceza sahasına orta,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Ceza sahasına orta,Seçildi: 10,39.0,ceza sahasına orta,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Ceza sahasına orta,Seçildi: 10.1,25.7,ceza sahasına orta,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Passes into the penalty box accurate, %",Seçildi: 19,0.5155,"passes into the penalty box accurate, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Passes into the penalty box accurate, %",2025/2026,0.4069,"passes into the penalty box accurate, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Passes into the penalty box accurate, %",Seçildi: 10,0.5231,"passes into the penalty box accurate, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Passes into the penalty box accurate, %",Seçildi: 10.1,0.4008,"passes into the penalty box accurate, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İkili mücadeleler,Seçildi: 19,133.79,i̇kili mücadeleler,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İkili mücadeleler,2025/2026,140.0,i̇kili mücadeleler,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İkili mücadeleler,Seçildi: 10,134.7,i̇kili mücadeleler,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,İkili mücadeleler,Seçildi: 10.1,142.4,i̇kili mücadeleler,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Başarılı ikili mücadele %,Seçildi: 19,0.5334000000000001,başarılı ikili mücadele %,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Başarılı ikili mücadele %,2025/2026,0.4687,başarılı ikili mücadele %,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Başarılı ikili mücadele %,Seçildi: 10,0.5405,başarılı ikili mücadele %,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Başarılı ikili mücadele %,Seçildi: 10.1,0.4712,başarılı ikili mücadele %,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Savunmada ikili mücadeleler,Seçildi: 19,65.37,savunmada ikili mücadeleler,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Savunmada ikili mücadeleler,2025/2026,74.86,savunmada ikili mücadeleler,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Savunmada ikili mücadeleler,Seçildi: 10,62.6,savunmada ikili mücadeleler,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Savunmada ikili mücadeleler,Seçildi: 10.1,76.5,savunmada ikili mücadeleler,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Savunmada kazanılan ikili mücadele, %",Seçildi: 19,0.5918,"savunmada kazanılan ikili mücadele, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Savunmada kazanılan ikili mücadele, %",2025/2026,0.4873,"savunmada kazanılan ikili mücadele, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Savunmada kazanılan ikili mücadele, %",Seçildi: 10,0.5847,"savunmada kazanılan ikili mücadele, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Savunmada kazanılan ikili mücadele, %",Seçildi: 10.1,0.4863,"savunmada kazanılan ikili mücadele, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Hücumda ikili mücadeleler,Seçildi: 19,68.42,hücumda ikili mücadeleler,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Hücumda ikili mücadeleler,2025/2026,65.14,hücumda ikili mücadeleler,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Hücumda ikili mücadeleler,Seçildi: 10,72.1,hücumda ikili mücadeleler,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Hücumda ikili mücadeleler,Seçildi: 10.1,65.9,hücumda ikili mücadeleler,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Hücumda başarılı ikili mücadele, %",Seçildi: 19,0.4777,"hücumda başarılı ikili mücadele, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Hücumda başarılı ikili mücadele, %",2025/2026,0.4474,"hücumda başarılı ikili mücadele, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Hücumda başarılı ikili mücadele, %",Seçildi: 10,0.5021,"hücumda başarılı ikili mücadele, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Hücumda başarılı ikili mücadele, %",Seçildi: 10.1,0.4537,"hücumda başarılı ikili mücadele, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Havada Hamleler,Seçildi: 19,33.74,havada hamleler,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Havada Hamleler,2025/2026,33.9,havada hamleler,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Havada Hamleler,Seçildi: 10,33.2,havada hamleler,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Havada Hamleler,Seçildi: 10.1,32.6,havada hamleler,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı hava topu mücadelesi, %",Seçildi: 19,0.5476,"başarılı hava topu mücadelesi, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı hava topu mücadelesi, %",2025/2026,0.4831,"başarılı hava topu mücadelesi, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı hava topu mücadelesi, %",Seçildi: 10,0.5663,"başarılı hava topu mücadelesi, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı hava topu mücadelesi, %",Seçildi: 10.1,0.4939,"başarılı hava topu mücadelesi, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Driplingler,Seçildi: 19,21.95,driplingler,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Driplingler,2025/2026,18.62,driplingler,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Driplingler,Seçildi: 10,24.3,driplingler,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Driplingler,Seçildi: 10.1,18.5,driplingler,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı driplingleri, %",Seçildi: 19,0.5971000000000001,"başarılı driplingleri, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı driplingleri, %",2025/2026,0.5652,"başarılı driplingleri, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı driplingleri, %",Seçildi: 10,0.5885,"başarılı driplingleri, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Başarılı driplingleri, %",Seçildi: 10.1,0.6054,"başarılı driplingleri, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Dribbling in the final third,Seçildi: 19,11.74,dribbling in the final third,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Dribbling in the final third,2025/2026,7.95,dribbling in the final third,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Dribbling in the final third,Seçildi: 10,13.9,dribbling in the final third,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Dribbling in the final third,Seçildi: 10.1,7.6,dribbling in the final third,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Dribbling in the final third successful, %",Seçildi: 19,0.5605,"dribbling in the final third successful, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Dribbling in the final third successful, %",2025/2026,0.479,"dribbling in the final third successful, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Dribbling in the final third successful, %",Seçildi: 10,0.554,"dribbling in the final third successful, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Dribbling in the final third successful, %",Seçildi: 10.1,0.5526,"dribbling in the final third successful, %",seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Top Kapma,Seçildi: 19,27.32,top kapma,seçildi: 19
