label,source_roles,semantic_role,action_family,outcome,direction,distance,zone,context,relation,restart_type,shot_result,action_subtype,object_action_family,progression,key_action,terminal_outcome,card_type,downstream_eligibility,semantics_decision,review_status,rule_id
Aerial challenges lost,,ACTION_ANCHOR,DUEL,LOST,,,,,,,,AERIAL,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_aerial_challenges_lost
Tackles successful,,ACTION_ANCHOR,TACKLE,SUCCESS,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_tackles_successful
Tackles unsuccessful,,ACTION_ANCHOR,TACKLE,FAILURE,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_tackles_unsuccessful
Dribbles successful,,ACTION_ANCHOR,DRIBBLE,SUCCESS,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_dribbles_successful
Dribbles unsuccessful,,ACTION_ANCHOR,DRIBBLE,FAILURE,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_dribbles_unsuccessful
Dribbling in the final third successful,,ACTION_ANCHOR,DRIBBLE,SUCCESS,,,FINAL_THIRD,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_dribbling_in_the_final_third_successful
Unsuccessful dribbles in the final third,,ACTION_ANCHOR,DRIBBLE,FAILURE,,,FINAL_THIRD,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_unsuccessful_dribbles_in_the_final_third
Bad ball control,,ACTION_ANCHOR,CONTROL_ERROR,FAILURE,,,,,,,,,,,,,,ACTION_CANDIDATE_REVIEW_LIMITED,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_bad_ball_control
Crosses accurate,,ACTION_ANCHOR,CROSS,SUCCESS,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_crosses_accurate
Crosses inaccurate,,ACTION_ANCHOR,CROSS,FAILURE,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_crosses_inaccurate
Fouls,,ACTION_ANCHOR,FOUL,,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_fouls
Fouls suffered,,RECEIVED_ACTION_REFERENCE,FOUL,,,,,,SUFFERED_BY_SUBJECT,,,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_fouls_suffered
Opponent fouls,,OPPONENT_ACTION_REFERENCE,FOUL,,,,,,COMMITTED_BY_OPPONENT,,,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_opponent_fouls
Offsides,,ADMINISTRATIVE_MARKER,OFFSIDE,,,,,,,,,,,,,OFFSIDE_CANDIDATE,,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_offsides
Goal kicks,GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,RESTART,,,,,,,GOAL_KICK,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_goal_kicks_gk_surface
Goal kicks short (0-15 m),GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,RESTART,,,SHORT,,,,GOAL_KICK,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_goal_kicks_short_gk_surface
Goal kicks short (0-15 m),TEAM_SURFACE_CANDIDATE,ATTRIBUTE_REFERENCE,PASS,,,SHORT,,,,,,PASS_DISTANCE_ATTRIBUTE_CANDIDATE,,,,,,REFERENCE_ONLY,CONTEXT_DEPENDENT_SEMANTIC_COLLISION,REVIEWED_CANDIDATE,plvs_v2_goal_kicks_short_team_surface_collision
Goal kicks medium (15-40 m),GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,RESTART,,,MEDIUM,,,,GOAL_KICK,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_goal_kicks_medium_gk_surface
Goal kicks medium (15-40 m),TEAM_SURFACE_CANDIDATE,ATTRIBUTE_REFERENCE,PASS,,,MEDIUM,,,,,,PASS_DISTANCE_ATTRIBUTE_CANDIDATE,,,,,,REFERENCE_ONLY,CONTEXT_DEPENDENT_SEMANTIC_COLLISION,REVIEWED_CANDIDATE,plvs_v2_goal_kicks_medium_team_surface_collision
Goal kicks long (40+ m),GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,RESTART,,,LONG,,,,GOAL_KICK,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_goal_kicks_long_gk_surface
Goal kicks long (40+ m),TEAM_SURFACE_CANDIDATE,ATTRIBUTE_REFERENCE,PASS,,,LONG,,,,,,PASS_DISTANCE_ATTRIBUTE_CANDIDATE,,,,,,REFERENCE_ONLY,CONTEXT_DEPENDENT_SEMANTIC_COLLISION,REVIEWED_CANDIDATE,plvs_v2_goal_kicks_long_team_surface_collision
Shots,,ACTION_ANCHOR,SHOT,,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_shots
Shots on target,GOALKEEPER_SURFACE_CANDIDATE,OPPONENT_ACTION_REFERENCE,SHOT,,,,,,FACED_BY_GOALKEEPER,,ON_TARGET,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_gk_on_target
Shots on target,PLAYER_SURFACE_CANDIDATE|TEAM_SURFACE_CANDIDATE,ACTION_ANCHOR,SHOT,,,,,,,,ON_TARGET,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_attacking_on_target
Shots off target,GOALKEEPER_SURFACE_CANDIDATE,OPPONENT_ACTION_REFERENCE,SHOT,,,,,,FACED_BY_GOALKEEPER,,OFF_TARGET,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_gk_off_target
Shots off target,PLAYER_SURFACE_CANDIDATE|TEAM_SURFACE_CANDIDATE,ACTION_ANCHOR,SHOT,,,,,,,,OFF_TARGET,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_attacking_off_target
Shots blocked,,ACTION_ANCHOR,SHOT,,,,,,,,BLOCKED,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_shots_blocked
Shots saved,GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,GOALKEEPER_ACTION,SUCCESS,,,,,,,SAVED,SAVE,SHOT,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_shots_saved
Free-kick shots,GOALKEEPER_SURFACE_CANDIDATE,OPPONENT_ACTION_REFERENCE,SHOT,,,,,SET_PIECE_SHOT_CANDIDATE,FACED_BY_GOALKEEPER,FREE_KICK,,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_gk_free_kick_shot_faced
Free-kick shots,PLAYER_SURFACE_CANDIDATE|TEAM_SURFACE_CANDIDATE,ACTION_ANCHOR,SHOT,,,,,SET_PIECE_SHOT_CANDIDATE,,FREE_KICK,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_attacking_free_kick_shot
Opponent's close-range shots on target,GOALKEEPER_SURFACE_CANDIDATE,OPPONENT_ACTION_REFERENCE,SHOT,,,CLOSE,,,FACED_BY_GOALKEEPER,,ON_TARGET,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_opponent_s_close_range_shots_on_target
Opponent's mid-range shots on target,GOALKEEPER_SURFACE_CANDIDATE,OPPONENT_ACTION_REFERENCE,SHOT,,,MEDIUM,,,FACED_BY_GOALKEEPER,,ON_TARGET,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_opponent_s_mid_range_shots_on_target
Opponent's long-range shots on target,GOALKEEPER_SURFACE_CANDIDATE,OPPONENT_ACTION_REFERENCE,SHOT,,,LONG,,,FACED_BY_GOALKEEPER,,ON_TARGET,,,,,,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_opponent_s_long_range_shots_on_target
Successful cross and pass interception attempts,GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,INTERCEPTION,SUCCESS,,,,,,,,CROSS_OR_PASS_INTERCEPTION,PASS_OR_CROSS,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_successful_cross_and_pass_interception_attempts
Unsuccessful cross and pass interception attempts,GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,INTERCEPTION,FAILURE,,,,,,,,CROSS_OR_PASS_INTERCEPTION,PASS_OR_CROSS,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_unsuccessful_cross_and_pass_interception_attempts
Supersaves,GOALKEEPER_SURFACE_CANDIDATE,ACTION_ANCHOR,GOALKEEPER_ACTION,SUCCESS,,,,,,,,SUPER_SAVE_CANDIDATE,SHOT,,,,,ACTION_CANDIDATE_REVIEW_LIMITED,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_supersaves
Positional attacks,,CONTEXT_INTERVAL,,,,,,POSITIONAL_ATTACK_CANDIDATE,,,,,,,,,,CONTEXT_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_positional_attacks
Positional attacks with shots,,CONTEXT_INTERVAL,,,,,,POSITIONAL_ATTACK_CANDIDATE,,,,,,,,SHOT_PRESENT_CANDIDATE,,CONTEXT_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_positional_attacks_with_shots
Counterattacks,,CONTEXT_INTERVAL,,,,,,COUNTERATTACK_CANDIDATE,,,,,,,,,,CONTEXT_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_counterattacks
Attacks from corners,,CONTEXT_INTERVAL,,,,,,SET_PIECE_ATTACK_CANDIDATE,,CORNER,,,,,,,,CONTEXT_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_attacks_from_corners
Attacks from free kicks,,CONTEXT_INTERVAL,,,,,,SET_PIECE_ATTACK_CANDIDATE,,FREE_KICK,,,,,,,,CONTEXT_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_attacks_from_free_kicks
Attacks from throw-ins,,CONTEXT_INTERVAL,,,,,,SET_PIECE_ATTACK_CANDIDATE,,THROW_IN,,,,,,,,CONTEXT_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_attacks_from_throw_ins
Involvement in positional attacks,,PARTICIPATION_INTERVAL,,,,,,POSITIONAL_ATTACK_CANDIDATE,,,,,,,,,,PARTICIPATION_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_involvement_in_positional_attacks
Involvement in positional attacks with shots,,PARTICIPATION_INTERVAL,,,,,,POSITIONAL_ATTACK_CANDIDATE,,,,,,,,SHOT_PRESENT_CANDIDATE,,PARTICIPATION_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_involvement_in_positional_attacks_with_shots
Involvement in counterattacks,,PARTICIPATION_INTERVAL,,,,,,COUNTERATTACK_CANDIDATE,,,,,,,,,,PARTICIPATION_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_involvement_in_counterattacks
Involvement in counterattacks with shots,,PARTICIPATION_INTERVAL,,,,,,COUNTERATTACK_CANDIDATE,,,,,,,,SHOT_PRESENT_CANDIDATE,,PARTICIPATION_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_involvement_in_counterattacks_with_shots
Involvement in set-piece attacks,,PARTICIPATION_INTERVAL,,,,,,SET_PIECE_ATTACK_CANDIDATE,,,,,,,,,,PARTICIPATION_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_involvement_in_set_piece_attacks
Involvement in set-piece attacks with shots,,PARTICIPATION_INTERVAL,,,,,,SET_PIECE_ATTACK_CANDIDATE,,,,,,,,SHOT_PRESENT_CANDIDATE,,PARTICIPATION_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_involvement_in_set_piece_attacks_with_shots
Goals,,TERMINAL_OUTCOME_CANDIDATE,,,,,,,,,,,,,,GOAL,,TERMINAL_OUTCOME_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_goals
Goals conceded,GOALKEEPER_SURFACE_CANDIDATE,OPPONENT_ACTION_REFERENCE,,,,,,,CONCEDED_BY_GOALKEEPER_SIDE,,,,,,,GOAL,,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_goals_conceded
Assists,,DERIVED_CONSEQUENCE_CANDIDATE,,,,,,,,,,,,,,ASSIST_CANDIDATE,,DERIVED_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_assists
Chances,,DERIVED_CONSEQUENCE_CANDIDATE,,,,,,,,,,,,,,CHANCE_CANDIDATE,,DERIVED_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_chances
Chances created,,DERIVED_CONSEQUENCE_CANDIDATE,,,,,,,,,,,,,,CHANCE_CREATED_CANDIDATE,,DERIVED_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_chances_created
Mistakes leading to chances,,DERIVED_CONSEQUENCE_CANDIDATE,ERROR,,,,,,,,,,,,,CHANCE_CANDIDATE,,DERIVED_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_mistakes_leading_to_chances
Mistakes leading to goals,,DERIVED_CONSEQUENCE_CANDIDATE,ERROR,,,,,,,,,,,,,GOAL,,DERIVED_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_mistakes_leading_to_goals
Start of the 1st half,,PERIOD_OR_META,,,,,,PERIOD_1_START,,,,,,,,,,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_start_of_the_1st_half
Start of the 2nd half,,PERIOD_OR_META,,,,,,PERIOD_2_START,,,,,,,,,,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_start_of_the_2nd_half
Halftime,,PERIOD_OR_META,,,,,,HALFTIME,,,,,,,,,,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_halftime
End of the match,,PERIOD_OR_META,,,,,,MATCH_END,,,,,,,,,,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_end_of_the_match
Yellow cards,,ADMINISTRATIVE_MARKER,CARD,,,,,,,,,,,,,,YELLOW,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_yellow_cards
YC,,ADMINISTRATIVE_MARKER,CARD,,,,,,,,,,,,,,YELLOW,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_yc
YC suffered,,RECEIVED_ACTION_REFERENCE,CARD,,,,,,RECEIVED_BY_SUBJECT,,,,,,,,YELLOW,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_yc_suffered
Opp. yellow cards,,OPPONENT_ACTION_REFERENCE,CARD,,,,,,RECEIVED_BY_OPPONENT,,,,,,,,YELLOW,REFERENCE_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_opp__yellow_cards
Injuries,,ADMINISTRATIVE_MARKER,,,,,,INJURY_MARKER,,,,,,,,,,ADMIN_ONLY,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_injuries
