path	size_bytes	mtime	repo_signal	keep_reason
/data/data/com.termux/files/home/HP_PROJELERI/HP Engine Stratejik Otopsi Raporu.docx	10811	2026-01-16 20:24:07	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP Engine mÃ¼hendisliÄŸi.docx	14381	2026-01-20 22:08:14	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP Engine sistemi.docx	6321	2026-01-20 22:08:13	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP Engine v22.5: Sistem BaÅŸlatma ve Veri Paketi.docx	9356	2026-01-24 01:08:24	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP MOTOR: SÄ°STEM AKTARIM VE KAZANIM DOSYASI.docx	10085	2026-01-26 01:33:55	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP Motor Analiz Sistemi Mimarisi ve Veri Ä°ÅŸleme.docx	27815	2026-01-28 00:56:50	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP Motor Vizyon GeniÅŸletici AraÅŸtÄ±rma Promptu.docx	28872	2026-01-24 14:01:16	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP Motor: The Animatrix of Football Analytics - Te....docx	1021909	2026-01-28 02:32:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor Kaynak AltyapÄ±sÄ± OluÅŸturma.docx	27766	2026-01-26 10:51:49	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main	243044	2026-01-30 00:15:05	yes	SSOT_MOTOR
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/.github	3132	2026-01-30 00:15:05	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/app.py	10019	2026-01-26 14:24:59	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/canon	2662	2026-01-26 14:24:59	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/config	4723	2026-01-26 14:24:59	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/main.py	1609	2026-01-26 14:24:59	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/pyproject.toml	698	2026-01-26 14:24:59	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/scripts	7530	2026-01-26 14:24:59	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/src	178283	2026-02-16 09:44:27	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/tests	8353	2026-02-07 10:53:24	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP-Motor-main/tools	26035	2026-01-26 14:24:59	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_ENGINE_PREMATCH_SYSTEM_REPORT.docx	42293	2026-01-19 18:36:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_Engine_GS_SetPiece_VideoIntegrated_Output_v1.xlsx	14624	2026-01-20 22:08:14	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_Engine_Otonom_Analiz_Sistemi.docx	41041	2026-01-18 22:50:22	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_Evrensel_Analiz_Matrisi.md.docx	10751	2025-11-25 19:17:36	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY	901051528	2026-01-30 00:15:05	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/AS Monaco 1-0 Galatasaray 09.12.2025, Ma+º-¦n Tamam-¦.csv	389443	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/AS Monaco 1-0 Galatasaray 09.12.2025, Ma+º-¦n Tamam-¦.xml	2045843	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Alanyaspor Stats, All Competitions _ FBref.com	1472250	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Aston Villa Stats, Europa League _ FBref.com.mht	1274907	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Ates¦ºten Alacag¦å-¦ Olanlar O¦ênso¦êz.docx	14813	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Atl+®tico Madrid Stats, All Competitions _ FBref.com	3863432	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Atl+®tico Madrid Stats, Champions League _ FBref.com	1467780	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Atl+®tico de Madrid 2-1 Inter Milan 26.11.2025, Ma+º-¦n Tamam-¦.csv	505417	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Atl+®tico de Madrid 2-1 Inter Milan 26.11.2025, Ma+º-¦n Tamam-¦.xml	2324754	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Atletico Madrid_vs_Galatasaray_matchup.csv	290	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Beyoglu Yeni Carsi 0-1 Fenerbahce 14.01.2026, Ma+º-¦n Tamam-¦.csv	458413	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Beyoglu Yeni Carsi 0-1 Fenerbahce 14.01.2026, Ma+º-¦n Tamam-¦.xml	98159	2026-01-29 03:22:42	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Champions League Stats _ FBref.com	2713270	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/DocSend	7900887	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Fatih Karag++mr++k 1-3 Galatasaray 24.01.2026, Ma+º-¦n Tamam-¦.csv	443179	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Fatih Karag++mr++k 1-3 Galatasaray 24.01.2026, Ma+º-¦n Tamam-¦.xml	2064843	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Fenerbah+ºe Stats, Europa League _ FBref.com.mht	1672227	2026-01-29 03:22:42	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Fenerbah+ºe Stats, S++per Lig _ FBref.com	2607719	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Fenerbahce 1-2 Besiktas JK 23.12.2025, Ma+º-¦n Tamam-¦.csv	352794	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Figma.mht	1204191	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Futbol Analiz Sistemi Yol Haritas-¦.pdf	148189	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray 0-2 Fenerbahce 10.01.2026, Ma+º-¦n Tamam-¦.csv	362852	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray 0-2 Fenerbahce 10.01.2026, Ma+º-¦n Tamam-¦.xml	1702142	2026-01-29 03:23:08	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray 1-1 Atl+®tico de Madrid 21.01.2026, Ma+º-¦n Tamam-¦.csv	424346	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray 1-1 Atl+®tico de Madrid 21.01.2026, Ma+º-¦n Tamam-¦.xml	2086516	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray 1-1 Gaziantep FK 17.01.2026, Ma+º-¦n Tamam-¦.csv	421622	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray 1-1 Gaziantep FK 17.01.2026, Ma+º-¦n Tamam-¦.xml	1984732	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray Stats, S++per Lig _ FBref.com	3103229	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray vs. Atl+®tico Madrid Match Report ÔÇô Wednesday January 21, 2026 _ FBref.com.mht	1220700	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray. Pozisyonlar.mp4_token=EbkkcjHNRdGqQrYrVCUNv623KAgzn1uywc5bXoGH4jE.mp4	71095922	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray_vs_Atletico Madrid_features.json	2018	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray_vs_Atletico Madrid_matchup (1).csv	290	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray_vs_Atletico Madrid_matchup.csv	290	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Galatasaray_vs_Atletico de Madrid _matchup.csv	290	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Gaziantep FK vs. Galatasaray Match Report ÔÇô Friday August 8, 2025 _ FBref.com	1218799	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP Motor Analiz Sistemi Mimarisi ve Veri -¦+ƒleme.pdf	242112	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP proje.zip	529364902	2026-01-29 03:22:00	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP-Engine-main	27719	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP-Motor-main (1).zip	119323	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP-Motor-termux-lite-patch.zip	114011	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP.zip	78654999	2026-01-29 03:22:20	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HPREMATCH_MONOLITH_REFACTOR_MAP_v1.yml	8091	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_DataDictionary_Canonical_v1 (1).yaml	1620	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_ENGINE_CANONICAL_SPEC_v1.1.0.yaml	5646	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_ENGINE_PREMATCH_SYSTEM_REPORT.docx	42293	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_ENGINE_RESTRUCTURE_BLUEPRINT_v1 (1).yml	13206	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_ENGINE_VISUAL_OS_CARAVAGGIO_v1.0.0 (1).yaml	7251	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_ENGINE_VISUAL_OS_CARAVAGGIO_v1.0.0 (2).yaml	8145	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_ENGINE_VISUAL_OS_CARAVAGGIO_v1.0.1 (1).yaml	1524	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_Engine_GS_SetPiece_VideoIntegrated_Output_v1.xlsx	14624	2026-01-29 03:22:42	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_Engine_Otonom_Analiz_Sistemi.docx	41041	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_Motor_System_Architecture.docx	14641	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/HP_Spor_Analiz_Sistemi_Yol_Haritasi_v1.docx	41093	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Hikmet P-¦narba+ƒ dosya.docx	45020	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Kodlar	0	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Noa Lang _ Napoli _ xG _ Shot Map _ Goal stats _ Understat.com.mht	286856	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Noa Lang _ Stats 2025_2026 _ Performance Data _ Form Check (1).mht	2342511	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Noa Lang _ Stats 2025_2026 _ Performance Data _ Form Check.mht	2342511	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Noa Lang-áÔÇô Player Analysis - The Football Analyst.mht	771742	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Notes	125837	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/S++per Lig Stats _ FBref.com	1535333	2026-01-29 03:22:28	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/S++per Lig Stats _ FBref.com (1)	1280807	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Tebe.mp3	31051474	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Y+íser Asprilla _ Opta Analyst.mht	3910294	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Yaser Asprilla - Stats and titles won - 25_26.mht	3231912	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Yaser Asprilla _ Stats 2025_2026 _ Performance Data _ Form Check.mht	2238674	2026-01-29 03:22:28	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Yaser Asprilla ÔÇô Girona_ LaLiga 2024-25 Data, Stats, Analysis and Scout report.mht	1504856	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Yaser Asprilla. 55 ma+º - En iyi hareketler.mp4_token=05ptthcy-xh3TQhs8GBrNL9YwN_xBBLf78Msb3MjZjQ.mp4	34668271	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Yaser Asprilla. 55 ma+º - Goll++k hatalar.mp4_token=XXFcBjSsiLmKGkIPhRjQz3wDT_p9nfIDLDa0-aB6fwQ.mp4	8424872	2026-01-29 03:22:28	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/Yaser Asprilla. Oyuncunun performans-¦ndan kesitler.mp4_token=jKL4K4OjYQMaUlzbzdbyk_rI87dTIErza8WZqsOMThc.mp4	78838510	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/analysis_claim.example.json	1709	2026-01-29 03:22:28	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/analysis_claim.schema.json	9802	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/eksik_tanimli_aksiyonlar.csv	1663	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/football_metrics_encyclopedia.py	44946	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/football_philosophy_engine.py	51895	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/heatmap_ALL_ALL.png	22144	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/heatmap_Fatih_Karag++mr++k_(26919)_ALL.png	27043	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/heatmap_Fatih_Karag++mr++k_ALL.png	25958	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/heatmap_Galatasaray_(29205)_ALL.png	26844	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/heatmap_Galatasaray_ALL.png	25978	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/heatmap_Galatasaray_pass.png	27712	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp-metric-registry	3682	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_engine_hybrid_panel_simulation.png	255147	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_engine_sprint0_video_layer	31696	2026-01-30 00:15:05	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_engine_v3_complete.tar.gz	26074	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_motor_match_analysis_example_and_template.docx	39511	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_motor_match_analysis_sample_mancity_rma_20230517.json	2244	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_motor_match_analysis_template.json	782	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_motor_plots	504889	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_motor_research_pack_20260126.json	24357	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_motor_run_GS_ATM_20260121.zip	161944	2026-01-29 03:22:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_motor_termux_bootstrap.zip	10548	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_postmatch_assets_v2_inventory.json	815	2026-01-29 03:23:04	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_single_source_of_truth_v1_fixed.py	11849	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_sot_patch_v1.json	268	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/hp_sot_v1.json	459	2026-01-29 03:22:28	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/league-chemp.csv	1872	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/league-chemp.json	4856	2026-01-29 03:22:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/league-players.csv	51365	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/league-players.json	138401	2026-01-29 03:22:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/metric_encyclopedia.py	1384	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/metric_spec.example.json	1484	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/metric_spec.schema.json	7003	2026-01-29 03:23:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/ohSFO5bg5FLWlM4o.mp4	1285603	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/pattern.example.json	1137	2026-01-29 03:23:10	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP_LIBRARY/pattern.schema.json	3959	2026-01-29 03:23:06	no	
